店舗CD,PLUコード,商品名称,メーカーコード,メーカー名,品番,カラー,サイズ,ターゲットコード,ターゲット,アイテムコード,アイテム,部門コード,部門,中分類コード,中分類,大分類コード,大分類名,属性,規格,原価,売価,2025/3/19 PM5:05時点の最終原価単価,数量,2025/3/19 PM5:05時点の最終原価金額,受託数量,2025/3/19 PM5:05時点の最終原価金額,最終仕入日,初回仕入日,最終売上日
00130,4954628467904,SBXY087,0000012,ｾｲｺｰｳｫｯﾁ,SBXY087,2412定,,,,,,0100,高額品Ｗ,0100,高額品Ｗ,0003,時計,,,87000,165000,87000,1,87000,0,0,2024/12/10,2024/12/10,
00130,4571432792703,A1081964,0000518,NIXON JAPAN,A1081964,YTS,Kensington Leather,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,6650,20900,6650,2,13300,0,0,,,2023/09/05
00130,4571432837602,A1091151,0000518,NIXON JAPAN,A1091151,YTS,Arrow Leather,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,8750,27500,8750,1,8750,0,0,,,2022/12/18
00130,4907924658965,BCA065GI,0000028,関西ﾊﾞﾝﾋﾞ,BCA065GI,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,1200,4400,1200,1,1200,0,0,2025/03/12,2025/03/12,
00130,4907924659009,BCA065PI,0000028,関西ﾊﾞﾝﾋﾞ,BCA065PI,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,1200,4400,1200,1,1200,0,0,2025/03/12,2025/03/12,
00130,4976660075336,FCRK988,0000012,ｾｲｺｰｳｫｯﾁ,FCRK988,21特価1.0,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,8400,26400,8400,1,8400,0,0,2021/10/07,2021/10/07,
00130,4976660076005,FCSK924,0000012,ｾｲｺｰｳｫｯﾁ,FCSK924,21特価1.5,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,6750,29700,6750,4,27000,0,0,2022/02/10,2022/02/10,2022/04/07
00130,4580749781522,IT25PGC-N,0000096,ｳｴﾆ貿易,IT25PGC-N,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,7000,15400,8400,1,8400,0,0,2024/12/25,2024/12/25,
00130,4580749781539,IT25SS-N,0000096,ｳｴﾆ貿易,IT25SS-N,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,6500,14300,6500,1,6500,0,0,2025/02/21,2025/02/21,
00130,4580749783434,IT30PG,0000096,ｳｴﾆ貿易,IT30PG,2024/AW,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,9000,19800,9000,1,9000,0,0,2025/02/11,2024/09/18,2025/02/05
00130,4580749783427,IT30PS,0000096,ｳｴﾆ貿易,IT30PS,2024/AW,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,8500,18700,8500,1,8500,0,0,2024/09/18,2024/09/18,
00130,4580749790586,IT30SBU-TN,0000096,ｳｴﾆ貿易,IT30SBU-TN,2024AW別注,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,6500,19250,6500,1,6500,0,0,2024/11/22,2024/11/22,
00130,4580749783441,IT30SS,0000096,ｳｴﾆ貿易,IT30SS,2024/AW,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,8000,17600,8000,1,8000,0,0,2024/09/18,2024/09/18,
00130,4580749771295,ITN29P-PKC,0000096,ｳｴﾆ貿易,ITN29P-PKC,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,10500,23100,10500,1,10500,0,0,2023/11/02,2023/11/02,
00130,4580749782499,KR24SS,0000096,ｳｴﾆ貿易,KR24SS,2025/SS限定,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,7500,16500,7500,1,7500,0,0,2025/02/21,2025/02/21,
00130,4580749782482,MM24SS,0000096,ｳｴﾆ貿易,MM24SS,2025/SS限定,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,7500,16500,7500,1,7500,0,0,2025/02/21,2025/02/21,
00130,4562272102517,NA7261345-00,0000518,NIXON JAPAN,NA7261345-00,YTS,Vega,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,4025,12650,4025,1,4025,0,0,,,
00130,4520288234165,P007H628,0000073,ﾀﾊﾟｯｸ,P007H628,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,13200,22407,13200,0,0,1,13200,2024/08/09,2024/08/09,
00130,4520288234677,P008F924,0000073,ﾀﾊﾟｯｸ,P008F924,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,オメガ,,12000,20370,12000,0,0,1,12000,2025/01/17,2024/08/09,2025/01/12
00130,4520288234189,P008F928,0000073,ﾀﾊﾟｯｸ,P008F928,PGWH,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,13200,24200,13200,0,0,1,13200,2024/08/09,2024/08/09,
00130,4520288237616,P040J691,0000073,ﾀﾊﾟｯｸ,P040J691,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,15000,27500,15000,0,0,1,15000,2025/02/05,2025/02/05,
00130,4520288236565,P045L968,0000073,ﾀﾊﾟｯｸ,P045L968,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,14400,26400,14400,0,0,1,14400,2024/08/09,2024/08/09,
00130,4520288233908,P045L988,0000073,ﾀﾊﾟｯｸ,P045L988,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,13200,24200,13200,0,0,1,13200,2024/10/10,2024/08/09,2024/09/28
00130,4520288238842,P050K984,0000073,ﾀﾊﾟｯｸ,P050K984,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,その他,ブランド,132000,22000,13200,0,0,1,13200,2024/11/27,2024/11/27,
00130,4520288237524,P057H562BT,0000073,ﾀﾊﾟｯｸ,P057H562BT,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,13200,24200,13200,0,0,1,13200,2024/11/27,2024/11/27,
00130,4520288237487,P057H925BT,0000073,ﾀﾊﾟｯｸ,P057H925BT,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,13200,24200,13200,0,0,1,13200,2025/01/07,2025/01/07,
00130,4520288234226,P202J108,0000073,ﾀﾊﾟｯｸ,P202J108,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,13200,22407,13200,0,0,1,13200,2024/08/09,2024/08/09,
00130,4520288237913,P208H164M,0000073,ﾀﾊﾟｯｸ,P208H164M,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,16800,30800,16800,0,0,1,16800,2024/08/09,2024/08/09,
00130,4520288237173,P209G439,0000073,ﾀﾊﾟｯｸ,P209G439,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,16800,30800,16800,0,0,1,16800,2024/08/09,2024/08/09,
00130,4520288237180,P209G469,0000073,ﾀﾊﾟｯｸ,P209G469,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,16800,30800,16800,0,0,1,16800,2025/01/07,2024/08/09,2025/01/02
00130,4520288238576,P242D126,0000073,ﾀﾊﾟｯｸ,P242D126,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,16800,30800,16800,0,0,1,16800,2024/08/09,2024/08/09,
00130,4520288238583,P242D164,0000073,ﾀﾊﾟｯｸ,P242D164,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,16800,30800,16800,0,0,1,16800,2024/08/09,2024/08/09,
00130,4520288238590,P243H434,0000073,ﾀﾊﾟｯｸ,P243H434,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,16800,30800,16800,0,0,1,16800,2024/08/09,2024/08/09,
00130,4520288233762,P404D433,0000073,ﾀﾊﾟｯｸ,P404D433,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,12000,22000,12000,0,0,1,12000,2024/08/09,2024/08/09,
00130,4520288236794,P425C966BT,0000073,ﾀﾊﾟｯｸ,P425C966BT,青,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,0,19800,0,0,0,1,0,2024/08/09,2024/08/09,
00130,4520288235988,P426C600,0000073,ﾀﾊﾟｯｸ,P426C600,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,10800,19800,10800,0,0,1,10800,2024/08/09,2024/08/09,
00130,4520288235971,P427C500,0000073,ﾀﾊﾟｯｸ,P427C500,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,10800,19800,10800,0,0,1,10800,2024/08/09,2024/08/09,
00130,4520288235964,P427C930,0000073,ﾀﾊﾟｯｸ,P427C930,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,10800,0,10800,0,0,1,10800,2024/08/09,2024/08/09,
00130,4520288237951,P429D674,0000073,ﾀﾊﾟｯｸ,P429D674,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,0,27500,0,0,0,1,0,2024/08/09,2024/08/09,
00130,4580749771301,ST29P-PKC,0000096,ｳｴﾆ貿易,ST29P-PKC,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,11000,24200,11000,1,11000,0,0,2024/04/09,2023/12/26,2024/04/04
00130,4580749771288,THN24P-PKC,0000096,ｳｴﾆ貿易,THN24P-PKC,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,10500,23100,10500,1,10500,0,0,2023/12/26,2023/12/26,
00130,4580749783311,THN24PGC-N,0000096,ｳｴﾆ貿易,THN24PGC-N,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,11000,24200,11000,1,11000,0,0,2025/01/29,2024/09/18,2025/01/25
00130,4580749786541,THN24SS-N,0000096,ｳｴﾆ貿易,THN24SS-N,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,10000,22000,10000,1,10000,0,0,2025/02/21,2025/02/21,
00130,4580749798285,TT28PG,0000096,ｳｴﾆ貿易,TT28PG,2025/SS,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,11500,25300,11500,1,11500,0,0,2025/03/19,2025/03/19,
00130,4580749798278,TT28PS-BK,0000096,ｳｴﾆ貿易,TT28PS-BK,2025/SS,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,11000,24200,11000,1,11000,0,0,2025/03/19,2025/03/19,
00130,4580749798292,TT28SS,0000096,ｳｴﾆ貿易,TT28SS,2025/SS,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,10500,23100,10500,1,10500,0,0,2025/03/19,2025/03/19,
00130,4580749762484,TTN25P-PK,0000096,ｳｴﾆ貿易,TTN25P-PK,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,12000,26400,12000,1,12000,0,0,2023/10/11,2023/10/11,
00130,4580749775248,TTN26PG,0000096,ｳｴﾆ貿易,TTN26PG,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,11000,24200,11000,1,11000,0,0,2025/01/21,2024/02/21,2025/01/17
00130,4580749775255,TTN26SS,0000096,ｳｴﾆ貿易,TTN26SS,2402/SS,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,10500,23100,10500,1,10500,0,0,2024/09/18,2024/02/21,2024/09/13
00130,4580749781560,WLS21PGC-N,0000096,ｳｴﾆ貿易,WLS21PGC-N,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,13000,28600,13000,1,13000,0,0,2025/02/21,2025/02/21,
